Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Policy Management ,Publisher ban deleted ,659,Info ,Publisher $publisherName$ ban was removed by '$username$'. 
Policy Management ,Publisher modified ,630,Info ,Publisher '$publisherName$' was edited by '$username$'. 
Policy Management ,Registry Rule created ,132,Info ,Registry Rule '$ruleName$' created by '$username$'. 
,,,,Registry Rule '$ruleName$ (Unified)' created by '$username$'.  ‘$ruleName$’ was imported by ‘$username’. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Registry Rule deleted ,134,Info ,Registry Rule '$ruleName$' deleted by '$username$'. 
,,,,Registry Rule '$ruleName$ (Unified)' deleted by '$username$'. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Registry Rule modified ,133,Info ,Registry Rule '$ruleName$' modified by '$username$'. 
,,,,Registry Rule '$ruleName$ (Unified)' modified by '$username$'. ‘$ruleName$’ was imported by ‘$username’. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Policy Management ,Reputation settings modified ,144,Info ,Reputation was enabled by '$username$'. 
,,,,Reputation was disabled by '$username$'. 
,,,,Reputation settings were modified by '$username$'. 
Policy Management ,Rules exported ,200,Info ,Custom Rules were exported by '$username$'. 
,,,,Memory Rules were exported by '$username$'. 
,,,,Registry Rules were exported by '$username$'. 
Policy Management ,Script Rule created ,647,Info ,Script Rule '$ruleName$' was created by '$username$'. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Script Rule deleted ,648,Info ,Script Rule '$ruleName$' was deleted by '$username$'. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Script Rule modified ,649,Info ,Script Rule '$ruleName$' was modified by '$username$'. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Trusted Directory check ,608,Info ,Trusted Directory '$pathName$' on computer '$computer$' is '$param2$'. Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Trusted Directory created ,613,Info ,Approval directory '$pathname$' added by '$username$'. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Trusted Directory deleted ,615,Info ,Approval directory '$pathname$' deleted by '$username$'. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Trusted Directory import ,626,"Info, ",Trusted package '$param1$' from '$source$' has been processed. 
,,,"Warning, ",Notes: Source may be a computer name or a manifest name. Severity is Info for status imports; Warning for improperly signed or misidentified manifests; Error for all other cases. 
,,,Error ,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Trusted Directory modified ,614,Info ,Approval directory '$filePathAndName$' modified by '$username$'. Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Trusted Directory scan ,609,Info ,Pre-approval scan started for '$filePathAndName$'. Approval ID: $param1$. Job ID: $param2$. Change Note: Capitalization of the subtype was changed in v8.1.0. 
Policy Management ,Trusted User added ,616,Info ,Trusted User '$name$' was added by '$consoleusername$'. 
Policy Management ,Trusted User deleted ,617,Info ,Trusted User '$name$' was deleted by '$consoleusername$'. 
Policy Management ,Unified rule overridden ,665,Info ,Unified rule '$param1$' was overridden by '$username$' 
,,,,"Note:  In the initial release of v8.0.0, “overridden” was misspelled in the subtype and description. "
Policy Management ,Updater disabled ,621,Info ,Updater '$updaterName$' was disabled by '$username$'. 
Policy Management ,Updater enabled ,620,Info ,Updater '$updaterName$' was enabled by '$username$'. 
Server Management ,AD lookups are slow ,114,Warning ,Active Directory Lookups are slow. Average lookup took $param1$ ms. Please review your AD configuration. 
Server Management ,Agent SSL error ,126,Warning ,SSL certificate error was detected when talking with host at IP '$ipAddress$'. This event can be falsely triggered by unreliable network connections. 
,,,,Change Notes:  Subtype was “Agent certificate expired” in some previous versions. 
Server Management ,Cb Collective Defense Cloud connection lost ,138,Warning ,Cb Collective Defense Cloud connection lost: $reason$ 
,,,,"Change Note: In pre-8.0.0 releases, the subtype referred to “Parity Knowledge Service” or “Bit9 Software Reputation Service.” "
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Server Management ,Cb Collective Defense Cloud connection restored ,139,Notice ,Cb Collective Defense Cloud connection restored  
,,,,"Change Note:  In pre-8.0.0 releases, the subtype referred to “Parity Knowledge Service” or “Bit9 Software Reputation Service.”. "
Server Management ,Cb Collective Defense Cloud proxy cleared ,141,Info ,Proxy disabled. Using direct connection to Cb Collective Defense Cloud. 
,,,,"Change Note: In pre-8.0.0 releases, the subtype referred to “Parity Knowledge Service” or “Bit9 Software Reputation Service.”  "
Server Management ,Cb Collective Defense Cloud proxy set ,140,Info ,Using proxy '$param1$' for connection to Cb Collective Defense Cloud. 
,,,,"Change Note:  In pre-8.0.0 releases, the subtype referred to “Parity Knowledge Service” or “Bit9 Software Reputation Service.”. "
Server Management ,Communication error ,136,Error ,SOAP error on computer $computer$ ($ipaddress$) in $param1$. 
Server Management ,Connector restart ,178,Warning ,"Connector started, build information: $param1$ "
Server Management ,Connector shutdown ,179,Notice ,Connector shutdown cleanly. 
Server Management ,Database error ,135,Error ,Unknown error initializing database pool. 
Server Management ,Database server reached specified limit ,106,Critical ,Database data file size limit reached. Total data file size is $param1$ MB. 
Server Management ,Database verification error ,108,Error ,Cb Protection Server database is corrupt: $param1$. 
Server Management ,Enabled Indicator Set deleted ,169,Info ,Indicator Set $setName$ was deleted by '$username$' 
,,,,Note: Occurs only when the Indicator Set was enabled at the time of deletion. There is a different Indicator Set deleted event for the general case. 
Server Management ,Enabled updater deleted ,148,Info ,Enabled Updater $updaterName$ was deleted by '$username$'  
,,,,Note: Occurs only when the Updater was enabled at the time of deletion. 
Server Management ,File analysis canceled ,158,Info ,User '$username$' canceled analysis of file '$filename$' [$hash$] with '$provider$'. 
Server Management ,File analysis completed ,161,Info ,File '$filename$' [$hash$] was successfully analyzed with '$provider$'. Nothing suspicious was found. 
,,, ,File '$filename$' [$hash$] was successfully analyzed with '$provider$'. It was reported as malicious. 
,,,Warning ,
Server Management ,File analysis error ,160,Error ,Analysis of file '$filename$' [$hash$] with '$provider$' failed because of error '$param1$'. 
Server Management ,File analysis modified ,176,Info ,'User ''$username$'' modified priority of analysis of file [$hash$]. 
Server Management ,File analysis requested ,157,Info ,User '$username$' requested analysis of file [$hash$] with '$provider$'. 
,,,,Analysis of file [$hash$] with '$provider$' was requested by Event Rule '$ruleName$'. 
Server Management ,File downloaded ,196,Info ,File '$filename$' [$hash$] downloaded by '$username$' from server 
Server Management ,File inventory deleted ,187,Notice ,Deleted $param1 inventory files that were excluded per configuration Note: Param1 is the number of files deleted. 
Server Management ,File tracking disabled ,109,Warning ,File tracking has been automatically disabled because database data file size limit has been reached. 
Server Management ,File upload modified ,177,Info ,User ‘$username$' modified priority of upload of file [$hash$] from computer '$computer$' 
Server Management ,Health Indicator changed ,183,Info ,The System has changed Health Indicator ‘$Param1$’ on tab ‘$Param2$’ on the System Health page. 
,,,,Notes: Param1 is the name of the Health Indicator. Param2 is the tab on which it appears. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Server Management ,Health Indicator created ,182,Info ,A new Health Indicator ‘$Param1$’ was created by $username$ on the ‘$Param2$’ tab of the System Health page. 
,,,,Note:  Param1 is the name of the Health Indicator. Param2 is the tab on which it appears. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Server Management ,Health Indicator deleted ,184,Info ,The system has removed Health Indicator ‘$Param1$’ from tab ‘$Param2$’ on the System Health Page. 
,,,,Note: Param1 is the name of the Health Indicator. Param2 is the tab where it previously appeared. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Server Management ,Health Indicator severity change ,181,Warning,For existing Health Indicators: 
,,,/Info ,Health Indicator $Param1$ has changed from severity $Param2$ to severity $Param3$. Health Indicator $Param1$ has gone to severity Param3$ Check the Health Indicator for more details. (Appears when indicator stops showing healthy state) 
,,,,Health Indicator $Param1$ has increased in severity from $Param2$ to $Param3$. Check the Health 
,,,,Indicator for more details. (Appears when indicator moves from borderline to critical) 
,,,,Health Indicator $Param1$ has decreased in severity from Param2$ to Param3$. (Appears when indicator moves from critical to borderline) 
,,,,Health Indicator $Param1$ is now healthy. (Appears when indicator moves to healthy state) For newly created Health Indicators: 
,,,,Newly created Health Indicator $Param1$ is healthy. 
,,,,Newly created Health Indicator $Param1$ has severity $Param3$. Check the Health Indicator for more details. 
,,,,Change Note: Capitalization of the subtype was changed in v8.1.0. 
Server Management ,Indicator Set created ,163,Info ,Indicator Set '$setName$' was created by '$username$'. 
Server Management ,Indicator Set deleted ,164,Info ,Indicator Set '$setName$' was deleted by '$username$'  
,,,,Note: There is a separate Enabled Indicator Set deleted event for Updaters deleted while enabled. 
Server Management ,Indicator Set disabled ,167,Info ,Indicator Set '$setName$' was disabled by '$username$' 
Server Management ,Indicator Set enabled ,166,Info ,Indicator Set '$setName$' was enabled by '$username$' 
Server Management ,Indicator Set exception created ,172,Info ,Indicator Set Exception '$setName$' created by '$username$' 
Server Management ,Indicator Set exception deleted ,174,Info ,Indicator Set Exception '$param1$' deleted by '$username$' 
Server Management ,Indicator Set exception modified ,173,Info ,Indicator Set Exception '$param1$' modified by '$username$' 
Server Management ,Indicator Set modified ,168,Info ,Indicator Set '$param1$' was modified by '$username$' 
Server Management ,Indicator Set updated ,165,Info ,Indicator Set '$param1$' was updated by '$username$' 
Server Management ,License added ,115,Notice ,User '$username$' has successfully added new Cb Protection license. 
Server Management ,License error ,116,Error ,User '$username$' attempted to add Cb Protection license. ($param1$)  
Server Management ,License warning ,117,Warning ,Your Cb Protection Suite license will expire in $param1$ day(s) on $date$. 
Server Management ,Network Connector ,162,Info ,"New network connector '$product$', version '$param2$' was registered. "
,,,,"Network connector ‘$product$’, version ‘$param2$’ was removed. "
,,,,"Network connector ‘$product$’, version ‘$param2$’ was removed and its data was deleted. "
,,,,(continued) 
,,,,User ‘$username$’ has modified configuration of network connector '$product$'. 
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
,,,,User ‘$user$’ has modified UI configuration of network connector ‘$param1$’. 
,,,,User ‘$username$’ has enabled network connector ‘$product$’. 
,,,,User ‘$username$’ has disabled network connector ‘$product$’. 
,,,,User ‘$username$’ has enabled file analysis for network connector ‘$product$’. 
,,,,User ‘$username$’ has disabled file analysis for network connector ‘$product$’. 
,,,,User ‘$username$’ has set param '$param2$' to '$param3$' for network connector '$product$'. 
,,,,User ‘$username$’ has enabled file analysis mode ‘$param1$’ for network connector ‘$product$’. 
Server Management ,Network Connector added ,185,Notice ,"User ‘$user$’ has registered new network connector ‘$param1$', version ‘$param2$’  "
Server Management ,Network Connector removed ,186,Notice ,"User ‘$user$’ has removed network connector ‘$param1$', version ‘$param2$’ "
Server Management ,Notifier install failed ,156,Error ,"Upgrade Error: Notifier for Policy '$policyName$', Setting '$policySetting$' was reset to default during upgrade. "
Server Management ,Old events were deleted ,107,Notice ,Deleting $param1$ events older than $param2$. 
Server Management ,Rapid Config created ,188,Info ,Rapid Config '$param1$' was created by '$username$'. 
Server Management ,Rapid Config deleted ,189,Info ,Rapid Config '$param1$' was deleted by '$username$'. 
Server Management ,Rapid Config disabled ,193,Info ,Rapid Config '$param1$' was disabled by '$username$'. 
Server Management ,Rapid Config enabled ,192,Info ,Rapid Config '$param1$' was enabled by '$username$'. 
Server Management ,Rapid Config modified ,190,Info ,Rapid Config '$param1$' was modified by '$username$'. 
Server Management ,Rapid Config updated ,191,Info ,Rapid Config '$param1$' was updated by '$username$'. 
Server Management ,Reporter restart ,151,Warning ,"Reporter started, build information: $param1$. "
Server Management ,Reporter shutdown ,152,Notice ,Reporter shutdown cleanly. 
Server Management ,Server backup failed ,104,Warning ,Database backup has failed. 
Server Management ,Server backup missed ,105,Warning ,Scheduled database backup was not performed. 
Server Management ,Server backup started ,103,Info ,"Database backup has been enabled, starting backup service. "
Server Management ,Server backup stopped ,110,Notice ,"Backup has been disabled, stopping backup service. "
Server Management ,Server Config List error ,113,Error ,"Data is bad for config list entry. Id[$param1$], Version[$param2$], Data[$param3$]. Change Note: Capitalization of the subtype was changed in v8.1.0. "
Server Management ,Server config modified ,102,Notice ,Configuration property '$param1$' was changed from '$param3$' to '$param2$' by '$username$'. Tracking of locally approved support files signed by Microsoft was disabled/enabled by 
,,,,'$username$' 
Server Management ,Server error ,142,Error/ Warning ,There are too many descriptions to list for this subtype since it handles many different types of errors. Examples include: 
,,,,Cb Collective Defense Cloud - error logged and service resuming operation. 
,,,,The remote server returned an unexpected response: (413) Request Entity Too Large.  
Server Management ,Server performance ,175,Warning ,Event filter for alert '$alertName$' is not performing well. Execution took $param2$ ms while processing $param3$ events. Please review associated alert filter. 
,,,,Event Rule '$ruleName1$' is not performing well. Execution took $param2$ ms while processing $param3$ events. Please review associated Event Rule filter. 
Server Management ,Server restart ,101,Notice ,"Cb Protection Server started, build information: $param1$. "
,,,,
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
Server Management ,Server shutdown ,100,Warning ,Cb Protection Server shutdown cleanly. 
Server Management ,Server upgrade failed ,112,Error ,Failed to upgrade Cb Protection Server to $param1$. Contact support. 
,,,,Change Note: The event description referred to “Parity Server” or “Bit9 Server” in pre-8.0.0 releases.  Not currently used in v8.0.0. 
Server Management ,Server upgrade info ,195,Info ,Upgrade Information for server Cb Protection Server : Default Rules order was modified by customer 
Server Management ,Server upgrade succeeded ,111,Info ,Successfully upgraded Cb Protection Server to version $param1$. 
,,,,Change Note: The event description referred to “Parity Server” or “Bit9 Server” in pre-8.0.0 releases. 
Server Management ,SSL certificate CN mismatch ,128,Critical ,Common Name mismatch between SSL certificate ($param1$) and RPC Server Name ($param2$). 
Server Management ,SSL certificate error ,127,Critical ,Server was not able to use default SSL certificate. Communication with agents is disabled. 
Server Management ,SSL certificate expired ,125,Critical ,Server SSL certificate has expired on $param1$. Agents will not be able to connect if SSL protocol is enabled. 
Server Management ,SSL certificate expiring ,124,Critical ,Server SSL certificate will expire on $param1$. 
Server Management ,SSL certificate generated ,118,Notice ,User '$username$' has successfully generated a new SSL certificate for Cb Protection Server: $param1$  
Server Management ,SSL certificate generation failed ,119,Warning ,User '$username$' has failed to generate a new SSL certificate for Cb Protection Server. Error: $param1$ 
Server Management ,SSL certificate import failed ,121,Warning ,User '$username$' has failed to import new SSL certificate for Cb Protection Server. Error: $param1$ 
Server Management ,SSL certificate imported ,120,Notice ,User '$username$' has successfully imported a new SSL certificate for Cb Protection Server: $param1$ 
Server Management ,Strong SSL communications disabled ,123,Warning ,User '$username$' has disabled strong SSL communications. Agents using strong SSL will not be able to talk to server anymore. Contact Carbon Black Support for remediation. 
Server Management ,Strong SSL communications enabled ,122,Notice ,User '$username$' has enabled strong SSL communications. Server cannot be spoofed. 
Server Management ,System error ,137,Error ,Reports a variety of descriptions for command line usage errors in rarely used debugging activities. 
Server Management ,Unified server added ,280,Info ,Unified server '$param1$' added to local configuration by ‘$username$’. 
Server Management ,Unified server error ,283,Critical ,Unified server '$param1$' inaccessible. 
,,,,Unified server '$param1$' inaccessible due to an issue with the SSL certificate. 
,,,,Unified server '$param1$' inaccessible due to an authentication issue. 
Server Management ,Unified server modified ,282,Info ,Unified server '$param1$' modified by ‘$username$’. 
,,,,Unified Management disabled on local server by '$username$'. 
,,,,Unified Management configured to be managed only from this server by '$username$'. 
,,,,Unified Management configured to be managed from all servers by '$username$'. 
,,,,This server was added to remote unified management configuration by '$username$'. 
Server Management ,Unified server removed ,281,Info ,Unified server '$param1$' removed from local configuration by ‘$username$’. 
Server Management ,Updater created ,145,Info ,Updater ‘$updaterName$’ was created by '$username$' 
Server Management ,Updater deleted ,146,Info ,Updater ‘$updaterName$’ was deleted by '$username$' 
,,,,Note: There is a separate Enabled Updater deleted event for Updaters deleted while enabled. 
Server Management ,Updater modified ,147,Info ,Updater ‘$updaterName$’ was modified by '$username$'. 
Type,Subtype ,ID No. ,Severity ,Example Descriptions/Comments 
,,,,Enabled Updater ‘$updaterName$’ was deleted by '$username$'. 
Server Management ,Updaters Indicator Set disabled ,171,Info ,'$username$' disabled automatic update of Indicator Sets from Cb Collective Defense Cloud 
Server Management ,Updaters Indicator Set enabled ,170,Info ,'$username$' enabled automatic update of Indicator Sets from Cb Collective Defense Cloud 
Server Management ,Updaters update disabled ,150,Info ,'$username$' disabled automatic update of Application Updaters from Cb Collective Defense Cloud Change Note: Capitalization of the subtype was changed in v8.1.0. 
Server Management ,Updaters update enabled ,149,Info ,'$username$' enabled automatic update of Application Updaters from Cb Collective Defense Cloud Change Note: Capitalization of the subtype was changed in v8.1.0. 
Server Management ,Yara Rules Added ,197,Info ,A new set of Yara Rules were added: $param1$ Version: $param2$. 
Server Management ,Yara Rules Modified ,198,Info ,Yara Rules were modified: $param1$ OldVersion: $param2$. 
Session Management ,Console user created ,302,Info ,'$userName1$' created new username ‘$userName2$’. 
Session Management ,Console user deleted ,303,Info ,'$userName1$' deleted the user '$userName2$'. 
Session Management ,Console user login ,300,Info ,User '$username$' logged in from $ipaddress$. 
,,,,User '$username$' logged in from $ipaddress$ via SAML. 
,,,,User '$username$' redirected to unified server $serverName$. 
,,,,"Change Note: In v8.0.0, a new description option for Unified Management was added. In v8.1.0, a new description option was added for SAML logins. "
Session Management ,Console user logout ,301,Info ,User '$username$' logged out. 
Session Management ,Console user modified ,304,Info ,'$userName1$' changed the User Roles for $userName2$'. 
,,,,'$userName1$' changed the password for '$userName2$'. ‘$userName1$’ modified the user ‘$userName2$’. 
,,,,‘$userName1$' changed the password for '$userName2$'. 
,,,,‘$userName1$’ created the API token for '$userName2$'. 
,,,,Unified server modified the unified user $userName2$. 
,,,,"Change Note: In pre-8.0.0 releases, the first description referred to “access level” instead of user roles, and listed the user group the user was moved from and to. User groups were changed to user roles in v8.0.0, and users can have more than one role. Also, unified servers are new for v8.0.0; the “Unified server modified” message indicates that a user has been authenticated on a client server. "
Session Management ,Multiple failed logins ,305,Warning ,User '$username$' has failed to login $param1$ times in a row. Current IP Address $ipaddress$. 
Session Management ,User Role AD rules changed ,309,Notice ,'$username$' modified an AD rule for mapping $param1$ to the User Role $param2$. 
Session Management ,User Role created ,306,Info ,User Role '$param1$' created by '$username$'. 
,,,,"Change Note: Prior to v8.0.0, the event subtype and description referred to “User group”. "
Session Management ,User Role deleted ,307,Info ,User Role '$param1$' deleted by '$username$'. 
,,,,"Change Note: Prior to v8.0.0, the event subtype and description referred to “User group”. "
Session Management ,User Role modified ,308,Info ,User Role '$param1$' modified by '$username$'. 
,,,,"Change Note: Prior to v8.0.0, the event subtype and description referred to “User group”. "
